run,ml_accuracy,ml_f1,rule_accuracy,rule_f1,hybrid_accuracy,hybrid_f1
215,0.587,0.5827322391781292,0.552,0.5442676871403452,0.562,0.5464350168350168
288,0.586,0.5831714575376661,0.536,0.5279064340782399,0.565,0.557321510581
355,0.59,0.5873365169896095,0.557,0.5478365285665731,0.59,0.5827984402167705
348,0.583,0.5780885632716296,0.543,0.5298388715416981,0.535,0.5224815981529499
328,0.578,0.57058761397193,0.571,0.5560422126336945,0.546,0.5380162212734557
393,0.602,0.5935240960732121,0.556,0.541843506383984,0.548,0.5436137054545137
326,0.581,0.5811827698712945,0.529,0.5134688185859874,0.538,0.5245431008518763
278,0.603,0.5978193501364997,0.544,0.5347898323398182,0.549,0.5457418124919414
342,0.582,0.5802768093018987,0.541,0.5304166170504904,0.552,0.5331452622865535
327,0.606,0.606652032749796,0.57,0.5586892347373199,0.552,0.5401068932497942
397,0.587,0.5830017244743256,0.545,0.5398887822894111,0.534,0.528869318854352
299,0.594,0.5908826456875379,0.562,0.5582813362190683,0.564,0.5564048898221583
214,0.588,0.5840534639567644,0.56,0.5533047737520386,0.564,0.5572158876205902
322,0.572,0.5667456101814295,0.548,0.541623979013398,0.559,0.5469974051053056
382,0.596,0.5957526522622785,0.534,0.5225022323334784,0.541,0.531045297495904
383,0.574,0.5695748510152653,0.556,0.5480256212970929,0.551,0.5402418288305308
319,0.602,0.595819092754712,0.569,0.5496866950674831,0.569,0.5594255505678339
324,0.618,0.6132796215364714,0.554,0.5445111940447415,0.571,0.5644039124247573
